Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"May 07, 2019",202.86,205.88,207.42,200.82,38.76M
"May 06, 2019",208.48,204.29,208.84,203.5,32.44M
"May 03, 2019",211.75,210.89,211.84,210.23,20.89M
"May 02, 2019",209.15,209.84,212.65,208.13,32.00M
"May 01, 2019",210.52,209.88,215.31,209.23,64.83M
"Apr 30, 2019",200.67,203.06,203.4,199.11,46.53M
"Apr 29, 2019",204.61,204.4,205.97,203.86,22.20M
"Apr 26, 2019",204.3,204.9,205.0,202.12,18.65M
"Apr 25, 2019",205.28,206.83,207.76,205.12,18.54M
"Apr 24, 2019",207.16,207.36,208.48,207.05,17.54M
"Apr 23, 2019",207.48,204.43,207.75,203.9,23.32M
"Apr 22, 2019",204.53,202.83,204.94,202.34,19.44M
"Apr 18, 2019",203.86,203.12,204.15,202.52,24.20M
"Apr 17, 2019",203.13,199.54,203.38,198.61,28.91M
"Apr 16, 2019",199.25,199.46,201.37,198.56,25.70M
"Apr 15, 2019",199.23,198.58,199.85,198.01,17.54M
"Apr 12, 2019",198.87,199.2,200.14,196.21,27.76M
"Apr 11, 2019",198.95,200.85,201.0,198.44,20.90M
"Apr 10, 2019",200.62,198.68,200.74,198.18,21.70M
"Apr 09, 2019",199.5,200.32,202.85,199.23,35.77M
"Apr 08, 2019",200.1,196.42,200.23,196.34,25.88M
"Apr 05, 2019",197.0,196.45,197.1,195.93,18.53M
"Apr 04, 2019",195.69,194.79,196.37,193.14,19.11M
"Apr 03, 2019",195.35,193.25,196.5,193.15,23.27M
"Apr 02, 2019",194.02,191.09,194.46,191.05,22.77M
"Apr 01, 2019",191.24,191.64,191.68,188.38,27.86M
"Mar 29, 2019",189.95,189.83,190.08,188.54,23.56M
"Mar 28, 2019",188.72,188.95,189.56,187.53,20.78M
"Mar 27, 2019",188.47,188.75,189.76,186.55,29.85M
"Mar 26, 2019",186.79,191.66,192.88,184.58,49.80M
"Mar 25, 2019",188.74,191.51,191.98,186.6,43.85M
"Mar 22, 2019",191.05,195.34,197.69,190.78,42.41M
"Mar 21, 2019",195.09,190.02,196.33,189.81,51.03M
"Mar 20, 2019",188.16,186.23,189.49,184.73,31.04M
"Mar 19, 2019",186.53,188.35,188.99,185.92,31.65M
"Mar 18, 2019",188.02,185.8,188.39,185.79,26.22M
"Mar 15, 2019",186.12,184.85,187.33,183.74,39.04M
"Mar 14, 2019",183.73,183.9,184.1,182.56,23.58M
"Mar 13, 2019",181.71,182.25,183.3,180.92,31.03M
"Mar 12, 2019",180.91,180.0,182.67,179.37,32.47M
"Mar 11, 2019",178.9,175.49,179.12,175.35,32.01M
"Mar 08, 2019",172.91,170.32,173.07,169.5,24.00M
